sentence,tokens,labels
order 1 plate pongal,"['order', '1', 'plate', 'pongal']","['O', 'B-QUANTITY', 'I-QUANTITY', 'B-FOOD']"
give one dosa wit chutney,"['give', 'one', 'dosa', 'wit', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
make dosa extra crisp,"['make', 'dosa', 'extra', 'crisp']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
add sambar on top,"['add', 'sambar', 'on', 'top']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'O']"
send me big idli,"['send', 'me', 'big', 'idli']","['O', 'O', 'B-QUANTITY', 'B-FOOD']"
one idli with xtra chutni,"['one', 'idli', 'with', 'xtra', 'chutni']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
3 poori extra ghee,"['3', 'poori', 'extra', 'ghee']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need dosaa no salt,"['need', 'dosaa', 'no', 'salt']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want four idlis,"['i', 'want', 'four', 'idlis']","['O', 'O', 'B-QUANTITY', 'B-FOOD']"
order 2 vada with extra onion,"['order', '2', 'vada', 'with', 'extra', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give pongal with chutney,"['give', 'pongal', 'with', 'chutney']","['O', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
please add chutney extra,"['please', 'add', 'chutney', 'extra']","['O', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
want idli extra crisp,"['want', 'idli', 'extra', 'crisp']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
2 plate idlis no spicy,"['2', 'plate', 'idlis', 'no', 'spicy']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
order pongal witout onion,"['order', 'pongal', 'witout', 'onion']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give 1 dosa less ghee,"['give', '1', 'dosa', 'less', 'ghee']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send one idli no spicy,"['send', 'one', 'idli', 'no', 'spicy']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 idly no onion pls,"['1', 'idly', 'no', 'onion', 'pls']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
pls giv me 3 idlies and xtra chuttney,"['pls', 'giv', 'me', '3', 'idlies', 'and', 'xtra', 'chuttney']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want 1 dosa widout oil,"['i', 'want', '1', 'dosa', 'widout', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
2 plate poori no ghee pls,"['2', 'plate', 'poori', 'no', 'ghee', 'pls']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
send one pongal no onion,"['send', 'one', 'pongal', 'no', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
xtra crispy dosa plz,"['xtra', 'crispy', 'dosa', 'plz']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'B-FOOD', 'O']"
i need 4 idli with less oil,"['i', 'need', '4', 'idli', 'with', 'less', 'oil']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
masal dos 1 plate no ghee,"['masal', 'dos', '1', 'plate', 'no', 'ghee']","['B-FOOD', 'I-FOOD', 'B-QUANTITY', 'I-QUANTITY', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 plate vada no coconut chutney,"['1', 'plate', 'vada', 'no', 'coconut', 'chutney']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 3x idlis wid spicy chutny,"['need', '3x', 'idlis', 'wid', 'spicy', 'chutny']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give 1 pongal n 2 vada,"['give', '1', 'pongal', 'n', '2', 'vada']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-QUANTITY', 'B-FOOD']"
order 1 idli wit xtra sambhar,"['order', '1', 'idli', 'wit', 'xtra', 'sambhar']","['O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
pls add 2 idlis with no ghee,"['pls', 'add', '2', 'idlis', 'with', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i take 3 idly more crispy,"['i', 'take', '3', 'idly', 'more', 'crispy']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
hey 1 masala dosa no onion,"['hey', '1', 'masala', 'dosa', 'no', 'onion']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one plate pongal witout ghee,"['one', 'plate', 'pongal', 'witout', 'ghee']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
add extra chutny to my 1 idli,"['add', 'extra', 'chutny', 'to', 'my', '1', 'idli']","['O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'O', 'B-QUANTITY', 'B-FOOD']"
2 pooris less oil,"['2', 'pooris', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need dosa more crispy n spicy,"['need', 'dosa', 'more', 'crispy', 'n', 'spicy']","['O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'I-CUSTOMIZATION']"
xtra sambhar and no onion,"['xtra', 'sambhar', 'and', 'no', 'onion']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one vada plz,"['one', 'vada', 'plz']","['B-QUANTITY', 'B-FOOD', 'O']"
get me 2 idlis with no ghee,"['get', 'me', '2', 'idlis', 'with', 'no', 'ghee']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
chutney extra pls and 3 idlis,"['chutney', 'extra', 'pls', 'and', '3', 'idlis']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'O', 'B-QUANTITY', 'B-FOOD']"
order dosa x1 widout spicy chutney,"['order', 'dosa', 'x1', 'widout', 'spicy', 'chutney']","['O', 'B-FOOD', 'B-QUANTITY', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give 2x vada more crisp,"['give', '2x', 'vada', 'more', 'crisp']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
send 4 idlis no chutney,"['send', '4', 'idlis', 'no', 'chutney']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
i want 2 poori with xtra sambhar,"['i', 'want', '2', 'poori', 'with', 'xtra', 'sambhar']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
3 pongal no onion n ghee,"['3', 'pongal', 'no', 'onion', 'n', 'ghee']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'I-CUSTOMIZATION']"
want masala dosa no butter,"['want', 'masala', 'dosa', 'no', 'butter']","['O', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
add idli x3 extra chutney,"['add', 'idli', 'x3', 'extra', 'chutney']","['O', 'B-FOOD', 'B-QUANTITY', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
need 1 plain dosa no oil,"['need', '1', 'plain', 'dosa', 'no', 'oil']","['O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just 1 idly xtra chuttni pls,"['just', '1', 'idly', 'xtra', 'chuttni', 'pls']","['O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
give me dosa less ghee,"['give', 'me', 'dosa', 'less', 'ghee']","['O', 'O', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
2 plate pongal no onion,"['2', 'plate', 'pongal', 'no', 'onion']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 poori less oil pls,"['1', 'poori', 'less', 'oil', 'pls']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O']"
xtra hot chutny with my idli,"['xtra', 'hot', 'chutny', 'with', 'my', 'idli']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'O', 'B-FOOD']"
pls send 4 idlies n vada,"['pls', 'send', '4', 'idlies', 'n', 'vada']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-FOOD']"
idli x2 wit no coconut,"['idli', 'x2', 'wit', 'no', 'coconut']","['B-FOOD', 'B-QUANTITY', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one idli witout oil,"['one', 'idli', 'witout', 'oil']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
give extra sambhar and 1 dosa,"['give', 'extra', 'sambhar', 'and', '1', 'dosa']","['O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-QUANTITY', 'B-FOOD']"
can i get 3x idlis xtra crispy,"['can', 'i', 'get', '3x', 'idlis', 'xtra', 'crispy']","['O', 'O', 'O', 'B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
1 masla dosa with less oil,"['1', 'masla', 'dosa', 'with', 'less', 'oil']","['QUANTITY', 'FOOD', 'FOOD', 'O', 'CUSTOMIZATION', 'CUSTOMIZATION']"
can i have 2 iddlies pls,"['can', 'i', 'have', '2', 'iddlies', 'pls']","['O', 'O', 'O', 'QUANTITY', 'FOOD', 'O']"
send me 1 uttapam extra crispy,"['send', 'me', '1', 'uttapam', 'extra', 'crispy']","['O', 'O', 'QUANTITY', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
give one vadaa and no chutney,"['give', 'one', 'vadaa', 'and', 'no', 'chutney']","['O', 'QUANTITY', 'FOOD', 'O', 'CUSTOMIZATION', 'CUSTOMIZATION']"
i want a plain dosa,"['i', 'want', 'a', 'plain', 'dosa']","['O', 'O', 'O', 'FOOD', 'FOOD']"
3 idli xtra sambhar,"['3', 'idli', 'xtra', 'sambhar']","['QUANTITY', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
need 1 rava dosa now,"['need', '1', 'rava', 'dosa', 'now']","['O', 'QUANTITY', 'FOOD', 'FOOD', 'O']"
pls no ghee on pongal,"['pls', 'no', 'ghee', 'on', 'pongal']","['O', 'CUSTOMIZATION', 'CUSTOMIZATION', 'O', 'FOOD']"
add 1 kesari also,"['add', '1', 'kesari', 'also']","['O', 'QUANTITY', 'FOOD', 'O']"
two idlis with xtra ghee,"['two', 'idlis', 'with', 'xtra', 'ghee']","['QUANTITY', 'FOOD', 'O', 'CUSTOMIZATION', 'CUSTOMIZATION']"
i need 1 puri and sabji,"['i', 'need', '1', 'puri', 'and', 'sabji']","['O', 'O', 'QUANTITY', 'FOOD', 'O', 'FOOD']"
idli sambhar combo pls,"['idli', 'sambhar', 'combo', 'pls']","['FOOD', 'FOOD', 'O', 'O']"
1 vada less salt,"['1', 'vada', 'less', 'salt']","['QUANTITY', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
give me a ghee roast,"['give', 'me', 'a', 'ghee', 'roast']","['O', 'O', 'O', 'FOOD', 'FOOD']"
can i get 3 mini idlis,"['can', 'i', 'get', '3', 'mini', 'idlis']","['O', 'O', 'O', 'QUANTITY', 'QUANTITY', 'FOOD']"
order 1 plain uthapam,"['order', '1', 'plain', 'uthapam']","['O', 'QUANTITY', 'FOOD', 'FOOD']"
extra chutni with 2 idly,"['extra', 'chutni', 'with', '2', 'idly']","['CUSTOMIZATION', 'CUSTOMIZATION', 'O', 'QUANTITY', 'FOOD']"
pls include 1 onion dosa,"['pls', 'include', '1', 'onion', 'dosa']","['O', 'O', 'QUANTITY', 'FOOD', 'FOOD']"
just 1 pongl witout oil,"['just', '1', 'pongl', 'witout', 'oil']","['O', 'QUANTITY', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
need vada sambar no onion,"['need', 'vada', 'sambar', 'no', 'onion']","['O', 'FOOD', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
i'll take one butter dosa,"[""i'll"", 'take', 'one', 'butter', 'dosa']","['O', 'O', 'QUANTITY', 'FOOD', 'FOOD']"
send puri x2 pls,"['send', 'puri', 'x2', 'pls']","['O', 'FOOD', 'QUANTITY', 'O']"
add 1 rva dosa wit less oil,"['add', '1', 'rva', 'dosa', 'wit', 'less', 'oil']","['O', 'QUANTITY', 'FOOD', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION', 'CUSTOMIZATION']"
need onion uttapm no ghee,"['need', 'onion', 'uttapm', 'no', 'ghee']","['O', 'FOOD', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
pls get 1 idlii wit sambar,"['pls', 'get', '1', 'idlii', 'wit', 'sambar']","['O', 'O', 'QUANTITY', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
add a sambhar vada,"['add', 'a', 'sambhar', 'vada']","['O', 'O', 'FOOD', 'FOOD']"
extra idly for me,"['extra', 'idly', 'for', 'me']","['CUSTOMIZATION', 'FOOD', 'O', 'O']"
3 masala dosas no chutny,"['3', 'masala', 'dosas', 'no', 'chutny']","['QUANTITY', 'FOOD', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
send me a paper dosa,"['send', 'me', 'a', 'paper', 'dosa']","['O', 'O', 'O', 'FOOD', 'FOOD']"
get 1 onion rava dosa,"['get', '1', 'onion', 'rava', 'dosa']","['O', 'QUANTITY', 'FOOD', 'FOOD', 'FOOD']"
i want 2 chole bature,"['i', 'want', '2', 'chole', 'bature']","['O', 'O', 'QUANTITY', 'FOOD', 'FOOD']"
send kesari x1 now,"['send', 'kesari', 'x1', 'now']","['O', 'FOOD', 'QUANTITY', 'O']"
pls get 1 uthpam extra crispy,"['pls', 'get', '1', 'uthpam', 'extra', 'crispy']","['O', 'O', 'QUANTITY', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
need masal dosaa with no spice,"['need', 'masal', 'dosaa', 'with', 'no', 'spice']","['O', 'FOOD', 'FOOD', 'O', 'CUSTOMIZATION', 'CUSTOMIZATION']"
can you add 1 vadaa to order,"['can', 'you', 'add', '1', 'vadaa', 'to', 'order']","['O', 'O', 'O', 'QUANTITY', 'FOOD', 'O', 'O']"
just 1 poori and sabjee,"['just', '1', 'poori', 'and', 'sabjee']","['O', 'QUANTITY', 'FOOD', 'O', 'FOOD']"
give 1 cheese dosa,"['give', '1', 'cheese', 'dosa']","['O', 'QUANTITY', 'FOOD', 'FOOD']"
order idli x2 no spice,"['order', 'idli', 'x2', 'no', 'spice']","['O', 'FOOD', 'QUANTITY', 'CUSTOMIZATION', 'CUSTOMIZATION']"
can i have 1 set dosa,"['can', 'i', 'have', '1', 'set', 'dosa']","['O', 'O', 'O', 'QUANTITY', 'FOOD', 'FOOD']"
need 1 idli and kesri,"['need', '1', 'idli', 'and', 'kesri']","['O', 'QUANTITY', 'FOOD', 'O', 'FOOD']"
pls 1 rva dosa no ghee,"['pls', '1', 'rva', 'dosa', 'no', 'ghee']","['O', 'QUANTITY', 'FOOD', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
give me 2 sambhr vada,"['give', 'me', '2', 'sambhr', 'vada']","['O', 'O', 'QUANTITY', 'FOOD', 'FOOD']"
1 chutni dosaa extra spice,"['1', 'chutni', 'dosaa', 'extra', 'spice']","['QUANTITY', 'FOOD', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
send me 3 mini uttapams,"['send', 'me', '3', 'mini', 'uttapams']","['O', 'O', 'QUANTITY', 'QUANTITY', 'FOOD']"
order a plain rava dosa,"['order', 'a', 'plain', 'rava', 'dosa']","['O', 'O', 'FOOD', 'FOOD', 'FOOD']"
just give 1 idly and 1 vada,"['just', 'give', '1', 'idly', 'and', '1', 'vada']","['O', 'O', 'QUANTITY', 'FOOD', 'O', 'QUANTITY', 'FOOD']"
2 plate puri with sambar,"['2', 'plate', 'puri', 'with', 'sambar']","['QUANTITY', 'QUANTITY', 'FOOD', 'O', 'CUSTOMIZATION']"
need ghee roast without ghee,"['need', 'ghee', 'roast', 'without', 'ghee']","['O', 'FOOD', 'FOOD', 'CUSTOMIZATION', 'CUSTOMIZATION']"
send onion dosa and butter idli,"['send', 'onion', 'dosa', 'and', 'butter', 'idli']","['O', 'FOOD', 'FOOD', 'O', 'FOOD', 'FOOD']"
